,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,ea,2012-06-11,against break closing cut deter fined forego ill late lie losing miss purport termination violate violated,may,able accomplish accomplishment accomplishments achieve achievement gain gains great greater highest satisfy win,27.0,13.0,12.0,2.0,3.815,0,0,0,0,0,0,0,0,0,46.0
1,ea,2012-07-27,absence adverse adversely against allege alleged bankrupt bankruptcy breach breaching break broken cancel canceled cancellation cancelled caution cease ceased ceases claims closed closing closure complain complaint complaints concern conflict conflicts contrary controversies crime criminal cut damage damages defamation defect defer delay deter difficult diminution disclaim disclose disclosed discontinuation discontinue dishonest dishonesty dismiss dismissal dispose dispute disqualify dissolution distress doubt embezzle embezzlement erred fail fails failure felony fined fines force forced forcing forego forfeit forfeited fraud gratuitous gratuitously harass harassment harm ill illegal impair impairment impermissible impossible impracticable inability inadequate incapacity inconsistency inconsistent ineligible injurious invalid invalidity investigation involuntary irreparable knowingly lapse lapsed late lie limitation limitations liquidate liquidated liquidates liquidation litigating litigation lose losing lying misappropriation misconduct miss mistake mistaken negative nondisclosure omission omit omitted penalties penalty plea plead pleas pled poses posing preclude preventing purport purported purports question questions quit refusal refuse refuses refusing reject rejected resign resignation restate restated restatement restructuring retaliation revocation revoke revoked revokes sever severe severed stress sue sued sues suing suspect suspend suspended suspending suspension taint terminate terminated terminates termination terminations testify threat threaten threatened uncollected unfavorable unfunded unlawful unpaid violate violated violation wrong wrongful,alteration ambiguous anticipate anticipated approximate approximately approximation approximations assume assumed assumes assuming assumption assumptions believe believes conditional contingent could depend dependent depending differ doubt fluctuation fluctuations may pending possible predict predicted risk uncertain unknown unusual vary,able accomplish accomplished achieve achieved achievement assure attain attainment beneficial beneficially benefit conclusive confident desirable effective enable encouraged enhance enhanced exclusive favorable gain gains good great greater highest honor improve improvement improvements innovation invent invention inventions opportunity satisfaction satisfactory satisfied satisfy stable strong success valuable win,27.0,12.0,13.0,2.0,3.741,1,1,0,0,0,0,0,0,0,4.0
2,ea,2012-07-31,break closed closure closures critical critically cut decline declined force ill late lie lose miss plea pleas purport question questions quit sever sue sued terminate terminated,assume contingent could depend depending may pending tending,able acclaimed achieve achievement benefit exciting good great incredibly leadership pleased satisfy win,27.0,11.0,14.0,2.0,3.667,0,1,1,0,0,0,0,0,0,0.0
3,ea,2012-07-31,break closing conciliation critical critically cut decline defer deficit delay delays deter disclose discontinue discontinued erred erring ill impair impairment late lie limitation limitations litigation lose losing loss losses miss plea pleas poses quit restructuring restructurings sever sue sued suspend suspended taint tense,anticipate anticipated approximate approximately assume assumes believe believes contingent could depend dependent differ intangible intangibles may pending predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed benefit effective enable enabled gain gains good great greater improve improvement leading opportunities outperform popular profitable progress satisfy superior unmatched win,27.0,11.0,14.0,2.0,3.667,0,1,1,1,0,1,0,0,0,30.0
4,ea,2012-08-30,absence acquiesce adverse adversely against allegation allegations allege alleged arrears bankrupt bankruptcy barred breach break burden cancel cancellation cancellations caution cautionary cease ceased ceases challenge claiming claims closed closing closure closures concern conspire conspires contested contradict contradicted contrary counterclaim cut damage damages debarred default defaulted defaults defect defects defer delay delayed delinquency delinquent denied deter detract disadvantage disadvantageous disallow disallowance disavow disclose disclosed discontinuance discontinue discontinued disfavor disfavoring dismiss dismissed dispose disproportion disproportionate dispute disregard disregarding dissent dissenting dissolution doubt easing encumber encumbered encumbrance encumbrances erred erring error exculpatory exonerate exonerated exoneration fail failed fails failure fault faulted faults fined fines force forced foreclose forego fraud fraudulent harm hazard hazardous ignoring ill illegal illegality impair impairment inability inaccurate inaction incident inconsistency inconvenient incorrect ineffective infringe infringement infringements injunction injunctions inquiry insolvency insolvent insufficient intentional interfere interfering interrupt interruption invalid invalidate invalidating invalidity investigation involuntary knowingly lack lapse lapsed late laundering lie limitation limitations liquidate liquidated liquidation litigation lockout lockouts lose losing loss losses lying malpractice misconduct mislead misleading miss missed misstate misstatement mistake moratorium negative negligence nonpayment objection obsolete omission omissions omit omits omitted onerous oppose opposed overage overdue penalties penalty plea pleas pled poses posing postpone preclude prejudice protest punitive purport purporting question quit refusal refuse reject renegotiation reparation repudiate resign resignation restate restated restatement restatements restructuring revoke revoked sever slow slowdown slowdowns solvency subpoena sue sued sues suffer suffered suing suspension taint terminate terminated terminates termination threat threaten threatened threatens trouble troubled unable unemployment unfunded unliquidated unpaid unreasonably unreimbursed unremedied unrest unsatisfied violate violation violations,alteration ambiguity anticipate anticipated anticipation appear appearing approximate approximately arbitrary assume assumed assumes assuming assumption assumptions believe believed conditional conditionally contingencies contingent could depend dependent differ doubt exposure fluctuation fluctuations intangible intangibles may might nonassessable pending possibility possible precaution precautionary presumption risk risks tending uncertain uncertainties unknown unusual variance variances,able achieve achieved adequately advances advantage advantageous assuring beneficial beneficially benefit best conclusive confident diligent effective enable enables enabling exclusive favorable favoring gain gaining gains good great greater greatest highest honor honoring improve improved improvement improvements improving leading perfect perfected satisfaction satisfactory satisfied satisfies satisfy satisfying succeed succeeded succeeding success successful valuable win worthy,26.0,12.0,13.0,1.0,3.846,1,1,1,0,0,0,0,0,0,28.0
5,ea,2012-09-27,break cut lie miss,,effective satisfy win,28.0,11.0,15.0,2.0,3.6430000000000002,1,1,0,1,1,1,1,0,0,125.0
6,ea,2013-01-30,break challenging closing collapse conciliation critical critically cut decline defer deficit delay delays deter disclose erred erring ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses miss plea pleas poses quit restructuring restructurings sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes contingent could depend dependent differ hidden intangible intangibles may pending predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed benefit effective enable enabled gain gains good great greater improve improvement popular satisfy superior win,29.0,8.0,19.0,2.0,3.4139999999999997,1,1,1,1,1,1,1,1,1,47.0
7,ea,2013-03-18,break challenging claims closed critical critically cut disclose disclosed forego forfeit forfeited ill late lie lose miss overage poses resign resignation resigned sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes could differ may nearly predict preliminary risk risks uncertain uncertainties,able acclaimed accomplish accomplished benefit better confident creative effective good great honor honored innovation leadership leading optimistic progress satisfied satisfy smooth strong strongest success successful successfully win,29.0,9.0,18.0,2.0,3.483,0,0,0,1,1,1,1,1,1,50.0
8,ea,2013-05-07,against break breakdown closing collapse conciliation critical critically cut decline defer deficit deter disclose erred erring ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss plea pleas poses quit restructuring restructurings sue sued taint tense,almost anticipate anticipated approximate approximately assume assumes believe believes contingent could differ hidden intangible intangibles may nearly pending predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed achieve achievement benefit best creative effective enable enabled excited gain gains good great greater improve improvement popular satisfy superior win,28.0,10.0,15.0,3.0,3.5,1,1,1,1,1,1,1,1,1,77.0
9,ea,2013-07-23,against break closing collapse conciliation critical critically cut decline defer deter disclose erred erring ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss plea pleas poses quit restructuring restructurings sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes contingent could differ hidden intangible intangibles may predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed benefit effective enable enabled gain gains good great greater highest honor honors leadership satisfy superior win,26.0,10.0,14.0,2.0,3.615,0,1,1,0,0,0,0,1,1,1.0
