,ticker,date,neg_text,uncert_text,pos_text,an_count,an_buy,an_hold,an_sell,an_rating,delta_0_p,delta_1_p,delta_1_0,delta_3_np,delta_7_np,delta_3_n0,delta_7_n0,an_d_p,an_d_0,period
0,akam,2008-07-30,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may roughly vary,able benefit better collaborate gain gained gaining gains good improve improvement leading satisfy strength succeed win,25.0,14.0,10.0,1.0,4.04,0,0,0,0,0,0,0,0,0,85.0
1,akam,2008-10-23,adverse breach break bridge cancel cancelled closing closure costly critical cut defer delay deter discourage erred fines ill inability inefficiency late lie limitation limitations lose losing loss losses miss plea pleas poses quit sever,anticipate anticipated appear appears approximate approximately assume assumed believe differ intangible may predict predictive roughly,able accomplish accomplishment accomplishments achieve advancement attractive benefit better boost breakthrough collaborate confident effective efficiencies efficiency efficient enable enabled enabling enhance enhanced enjoy exciting gain gains great greater greatly improve improved improving leading opportunity pleasure positive positively revolutionize revolutionized satisfy strength strengthen strengthening succeed success successful successfully valuable win,23.0,11.0,11.0,1.0,3.87,0,0,0,1,1,1,1,0,0,7.0
2,akam,2008-10-30,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may pending vary,able benefit better collaborate excited gain gaining gains good improve improvement leading satisfy strength strong succeed win,22.0,10.0,11.0,1.0,3.818,0,1,1,0,0,0,0,0,0,20.0
3,akam,2008-11-19,break bridge cut disclaim force ill late lie loss miss restructuring sever taint,anticipate anticipated anticipates approximate approximately assumption assumptions differ may risk risks uncertain uncertainties,able satisfy win,22.0,10.0,11.0,1.0,3.818,0,0,0,1,1,1,1,0,0,65.0
4,akam,2009-01-23,against break bridge challenging closing cut deter fail fails forego ill lack late lie losing lying miss quit sue sued,contingent may,able achieve achieved achievement effective gain gains satisfy success win,23.0,8.0,14.0,1.0,3.609,1,1,1,1,0,1,0,0,0,12.0
5,akam,2009-02-04,break bridge challenging claims closed closing concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose losing loss losses miss plea pleas poses quit restructuring sue sued unauthorized unexpected,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may unexpected vary,able accomplish accomplishment accomplishments benefit better collaborate gain gaining gains good impress impressive improve improved leading pleased satisfy strength succeed win,22.0,8.0,13.0,1.0,3.636,0,1,1,1,1,1,1,1,1,84.0
6,akam,2009-04-29,break bridge challenging claims closed concern conciliation cut defer delay deter disclaim disclaims disclose disclosed discontinue discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses preclude precluded quit restructuring sever sue sued suspend unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may might roughly vary,able advantage advantages attractive benefit better collaborate gain gaining gains good improve improvement leading pleased positive satisfy strength strong succeed tremendous win,20.0,8.0,10.0,2.0,3.6,1,1,1,0,0,0,1,0,1,27.0
7,akam,2009-05-26,absenteeism adverse against breach break bridge cancel cancelled cease ceases claiming claims closed closing closure conflict conflicts contrary crime cut damage damages defer deter dishonest dishonesty dispose dissolution encumber encumbered erred excessive fail fails failure fined force forced forego forfeit forfeited forfeiture fraud harm ill impair inconsistency invalid invalidity lapse lapsed late lie limitation liquidation lose losing loss losses lying misconduct miss negative negligence negligent nondisclosure omission omit omitted pled poses quit refusal resign resignation restructuring serious sever sue sued suing terminate terminated termination terminations unfunded unsatisfactory violate violates violation violations,ambiguity contingent differ intangible may,able achieve achieved achievement achieves benefit conclusive confident desirable effective enable gain gains good satisfaction satisfactory satisfied satisfy succeed succeeding success valuable win,20.0,8.0,11.0,1.0,3.7,1,1,0,0,0,0,0,0,0,64.0
8,akam,2009-07-29,break bridge challenging claims closed concern conciliation cut defer delay difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able advantage advantages benefit better collaborate gain gaining gains good leading positive satisfy strength strong succeed superior win,21.0,9.0,10.0,2.0,3.6189999999999998,0,0,0,1,1,1,1,0,0,91.0
9,akam,2009-10-28,break bridge challenging claims closed concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt divest doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able benefit better collaborate gain gaining gains good improving leading pleased positive satisfy strength strong succeed superior win,21.0,4.0,15.0,2.0,3.095,0,1,1,1,1,1,1,1,1,86.0
