,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001193125-09-168782,Google,20090807,2009-08-07,8-K,break closing cut ill late lie losing miss poses quit,revise revised,able satisfy win
1,0001193125-07-221254,Google,20071018,2007-10-18,8-K,break conciliation conciliations cut erred erring fined ill late lie limitation limitations miss plea pleas poses quit sue suing taint unduly unforeseen,anticipate approximate approximately assumption assumptions believe believes could differ intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective enabling great greater impress impressive innovation opportunities pleased satisfy strength strengthen strengthening superior transparency win
2,0001288776-15-000004,Google,20150129,2015-01-29,8-K,break closed collapse conciliation conciliations cut discontinue discontinued divest divestiture erred erring fined ill impair impairment lapse late lie limitation limitations lose loss lying miss plea pleas poses quit restate restated sue sued suing taint unforeseen,approximate approximately assumption assumptions believe believes could differ hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit despite effective gain gains great greater invent inventor opportunities satisfy strength strengthen strengthening strong superior transparency win
3,0001288776-15-000039,GOOGLE,20150810,2015-08-10,8-K,break closure collapse cut deter fined ill lapse late lie limitation limitations litigation loss miss poses quit restate restated serious seriously stopped sue sued taint worry,anticipate anticipated anticipates believe believed could depend dependence dependent differ hidden might pending risk risks sometime sometimes speculative tending uncertain uncertainties,able better enjoy enjoying excited exciting gain great greater improving incredible innovation innovations opportunities progress prospering satisfy strong transparency tremendous tremendously win
4,0001193125-09-230807,Google,20091110,2009-11-10,8-K,break closing cut default erred fault fined ill lie losing miss poses sue sued,may risk risks,able confident great greater opportunity satisfy win
5,0001288776-14-000050,Google,20140715,2014-07-15,8-K,break closed closing collapse cut ill interfere lapse late lie lose losing miss plea pleas quit resign resigned,believe contingent hidden may possible,able effective enhancing honor honored improving innovation innovations leadership pleased satisfy win
6,0001288776-13-000037,Google,20130611,2013-06-11,8-K,against break collapse cut forego ill lapse lie miss,depend dependent hidden,able gain gains satisfy success win
7,0001288776-13-000023,Google,20130418,2013-04-18,8-K,break collapse conciliation conciliations cut discontinue discontinued erred erring fined ill lapse late lie limitation limitations loss lying miss plea pleas poses quit restructuring sue sued suing taint unforeseen,approximate approximately assumption assumptions believe believes could differ hidden intangible intangibles may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective gain gains great greater improve invent inventor opportunities satisfy strength strengthen strengthening strong superior transparency win
8,0001288776-15-000014,Google,20150213,2015-02-13,8-K,break closed collapse concern concerns cut disclose disclosed ill lapse lie lose miss,approximate approximately assuming hidden,able satisfy win
9,0001193125-11-270520,Google,20111013,2011-10-13,8-K,break conciliation conciliations cut erred erring fined ill investigation late lie limitation limitations miss plea pleas poses quit suing taint unforeseen,approximate approximately assumption assumptions believe believes could differ intangible may predict predicted risk risks uncertain uncertainties vary varying,able benefit effective gain gains great greater incredible opportunities satisfy strength strengthen strengthening superior transparency win
10,0001288776-15-000016,Google,20150323,2015-03-23,8-K,break collapse cut ill lapse late lie litigation miss plea pleas,hidden,able satisfy win
