,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0000712515-14-000053,ELECTRONIC,20141028,2014-10-28,8-K,against break closing collapse conciliation critical critically cut decline defer deter disclose erred erring ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses miss plea pleas poses quit restructuring restructurings sue sued taint tense terminate terminated,anticipate anticipated approximate approximately assume assumes believe believes contingent could differ differs hidden intangible intangibles may predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed benefit effective enable enabled excellent exclusive exclusively gain gains good great greater improve improved innovation satisfy strong superior win
1,0000712515-16-000151,ELECTRONIC,20161109,2016-11-09,8-K,break closed collapse cut disclose disclosed ill lapse lie lose miss quit,hidden may,able satisfy win
2,0000712515-16-000145,ELECTRONIC,20161101,2016-11-01,8-K,break collapse critical critically cut defer disclose erred fined ill lapse late lie lose loss losses miss plea pleas poses quit sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes could differ hidden intangible intangibles may nearly predict preliminary risk risks uncertain uncertainties variance,able acclaimed benefit better breakthrough effective enable enabled excellent fantastic gain gains good highest outperform satisfy strength strong win
3,0000712515-17-000075,ELECTRONIC,20171031,2017-10-31,8-K,break collapse critical critically cut defer disclose erred fined ill lapse late lie lose loss losses lying miss plea pleas poses quit sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes could depend differ fluctuation fluctuations hidden intangible intangibles may predict preliminary revise revised risk risks uncertain uncertainties variance,able acclaimed benefit dependable effective enable enabled gain gains good innovation satisfy stable strong win
4,0000712515-15-000003,ELECTRONIC,20150112,2015-01-12,8-K,break caution cautioned closing closure closures collapse critical critically cut ill lapse late lie losing miss reject sue sued voiding,approximate approximately hidden,able acclaimed encourages satisfy win
5,0000712515-17-000048,ELECTRONIC,20170711,2017-07-11,8-K,against break collapse cut deter fined ill lapse late lie lying miss termination violate violated,hidden may revise revised,able accomplish accomplishment accomplishments achieve achievement gain gains satisfy win
6,0000712515-18-000029,ELECTRONIC,20180530,2018-05-30,8-K,break collapse cut ill lapse lie miss,hidden,able effective satisfy win
7,0001193125-13-406272,ELECTRONIC,20131022,2013-10-22,8-K,assault break closure conflict critical critically cut difficult ill inaccurate late lie miss plea pleas poses sue sued taint,anticipate anticipated assumption assumptions could depend dependent depending differ may pending predict risk tending uncertain uncertainties varied,able acclaimed best collaboration collaborations creative creativity enhance enhanced enthusiasm exclusive exclusively satisfy win winner winning
8,0000712515-15-000015,ELECTRONIC,20150320,2015-03-20,8-K,absence acquiesce adverse adversely against allegation allegations allege alleged arrears bad bankrupt bankruptcy breach break bribe bribery burden cancel cancellation cancellations cancelled caution cautionary cease ceased ceases challenge claiming claims closed closing closure closures collapse concern contested contradict contradicted contrary corrupt corruption counterclaim cut damage damages default defaulted defaults defect defects defer delay delayed delinquency delinquent denied deter detract disadvantage disadvantageous disallow disallowance disavow disclaim disclose disclosed discontinuance discontinue discontinued disfavor disfavoring dismiss dismissed dispose disproportion disproportionate dispute disregard disregarding dissent dissenting dissolution doubt easing embargo embargoes encumber encumbered encumbrance encumbrances erred erring error errors exculpatory exonerate exonerated exoneration fail failed fails failure fault faulted faults fined fines force forced foreclose forego fraud fraudulent harm hazard hazardous ill illegal illegality impair impairment inability inaccurate inaction incident inconsistency inconvenient incorrect ineffective infringe infringement infringements injunction injunctions inquiry insolvency insolvent insufficient intentional interfere interfering interrupt interruption invalid invalidate invalidating invalidity investigation involuntary knowingly lack lapse lapsed late lie limitation limitations liquidate liquidated liquidation litigation lockout lockouts lose losing loss losses lying malpractice misconduct mislead misleading miss missed misstate misstatement mistake moratorium negative negligence nonpayment objection obsolete omission omissions omit omits omitted onerous oppose opposed overage overdue penalties penalty plea pleas pled poses posing postpone preclude prejudice protest punitive purport purporting question quit refusal refuse reject renegotiation reparation repudiate resign resignation restate restated restatement restatements restructuring revoke revoked sever slow slowdown slowdowns solvency subpoena sue sued sues suffer suffered suing suspension taint terminate terminated terminates termination threat threaten threatened trouble troubled unable unemployment unfunded unliquidated unpaid unreasonably unreimbursed unremedied unrest unsatisfied violate violation violations,alteration ambiguity anticipate anticipated anticipation appear appearing approximate approximately arbitrary assume assumed assumes assuming assumption assumptions believe believed conditional conditionally contingencies contingent could depend dependent differ differs doubt exposure fluctuation fluctuations hidden intangible intangibles may might nonassessable pending possibility possible precaution precautionary presumption risk risks tending uncertain uncertainties unknown unusual variance variances,able achieve achieved adequately advances advantage advantageous assuring beneficial beneficially benefit best conclusive confident diligent effective enable enables exclusive favorable favoring gain gaining gains good great greater greatest highest honor honoring improve improved improvement improvements improving leading perfect perfected satisfaction satisfactory satisfied satisfies satisfy satisfying succeed succeeded succeeding success successful valuable win worthy
9,0000712515-15-000029,ELECTRONIC,20150521,2015-05-21,8-K,break closed collapse cut disclose disclosed ill lapse lie lose miss quit,hidden may,able satisfy win
10,0000712515-18-000016,ELECTRONIC,20180508,2018-05-08,8-K,break collapse critical critically cut defer disclose discontinue discontinued erred fined ill lapse late lie lose loss losses lying miss plea pleas poses quit sever sue sued suspend suspended taint tense,anticipate anticipated approximate approximately assume assumes believe believes could depend differ fluctuation fluctuations hidden intangible intangibles may nearly predict preliminary revise revised risk risks uncertain uncertainties variance,able acclaimed benefit dependable effective enable enabled exciting favorite gain gains good leading opportunities satisfy stable strong success win
11,0001193125-16-475850,ELECTRONIC,20160224,2016-02-24,8-K,absence accident accidents acquiesce adverse adversely against annul annulled arrears bad bankrupt bankruptcy breach breached break cancel canceled cancellation cancelled catastrophe catastrophes cease ceased ceases claims concern conflict conflicting conflicts contested contrary cut damage decline deface defaced default defaults defect defects defend defending defer delay delist delisting denied destroy destroyed destruction deter detract detriment disclaim discontinue discontinued dispose disregard disregarded dissolution disturb disturbance disturbances doubt downgrade easing encumber encumbrance enjoin enjoining erred error expose fail fails failure fault faulted faults fined force forced forego fraud fraudulent harm hinder ill illegal impair impaired impede inability incapable inconsistency inconsistent inconvenient ineligibility insolvency insolvent interfere interrupt interruption interruptions invalid investigate investigation involuntary irregular irregularities late laundering lie limitation limitations liquidate liquidated liquidation liquidator litigant litigation lose loss losses lost lying malfunction malfunctions misconduct miss moratorium negligence negligent nonpayment objection omission omissions omit omits omitted overdue penalties penalty plea plead pled poses preclude prejudice prejudicial punitive question quit refuse resign resignation resigned resigns revocation revoke sever solvency stolen stoppage stoppages strain straining sue sued sues suffer suffered suing terminate terminated termination unable unduly unemployment unpaid unreasonable unreasonably unwilling usury violate violation wrong wrongful wrongfully,ambiguity anticipation apparent apparently appear appears assume assumed assumes assuming assumption assumptions believe believed believes conditional conditionally contingency contingent depend dependent differ doubt fluctuation fluctuations intangible likelihood may might possible preliminary presume presumed risk speculative variation variations,able advances advantage assuring beneficial beneficially benefit better conclusive conclusively constructive desirable effective enable exclusive exclusively gain gains good great greater greatest highest improve improvement improvements improving progress satisfaction satisfactory satisfied satisfies satisfy succeed succeeding success win
12,0000712515-16-000153,ELECTRONIC,20161122,2016-11-22,8-K,break closed collapse cut disclose disclosed ill lapse lie lose miss quit,hidden may,able satisfy win
13,0000712515-13-000027,ELECTRONIC,20130724,2013-07-24,8-K,against break closing collapse conciliation corrects critical critically cut decline defer deter disclose erred erring ill impair impairment incorrect lapse late lie limitation limitations litigation lose losing loss losses lying miss plea pleas poses quit restructuring restructurings sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes contingent could differ hidden intangible intangibles may predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed benefit effective enable enabled gain gains good great greater highest honor honors leadership satisfy superior win
14,0000712515-17-000099,ELECTRONIC,20171204,2017-12-04,8-K,break closed collapse cut disclose disclosed fined lapse lie lose lying miss,hidden revise revised,able satisfy win
15,0001193125-19-028291,ELECTRONIC,20190205,2019-02-05,8-K,break critical critically cut defer difficult disclose erred fined ill late lie lose loss losses lying miss negative plea pleas poses quit restate restated sue sued tense,anticipate anticipated approximate approximately assume assumes believe believes contingent could differ fluctuation fluctuations intangible intangibles may predict preliminary revise revised variance,able acclaimed benefit delight delighted effective enable enabled excited gain gains good great highest improve satisfy strength strengths win
16,0000712515-18-000005,ELECTRONIC,20180130,2018-01-30,8-K,break collapse critical critically cut defer disclose erred fined ill lapse late lie lose loss losses lying miss plea pleas poses quit sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes could depend differ fluctuation fluctuations hidden intangible intangibles may nearly predict preliminary revise revised risk risks uncertain uncertainties variance,able acclaimed benefit dependable effective enable enabled enables enjoy enjoyed excitement gain gains good highest satisfy win
17,0000712515-13-000025,ELECTRONIC,20130723,2013-07-23,8-K,against break closing collapse conciliation critical critically cut decline defer deter disclose erred erring ill impair impairment lapse late lie limitation limitations litigation lose losing loss losses lying miss plea pleas poses quit restructuring restructurings sue sued taint tense,anticipate anticipated approximate approximately assume assumes believe believes contingent could differ hidden intangible intangibles may predict preliminary risk risks uncertain uncertainties unspecified,able acclaimed benefit effective enable enabled gain gains good great greater highest honor honors leadership satisfy superior win
