,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0001266432-14-000133,AKAMAI,20141024,2014-10-24,8-K,absence against allege alleged break bridge cancel cancellation cancellations closed closure collapse concern contested contrary cut damage damages delay delayed destroy destroyed destruction deter disclose disclosed disinterested dispose disqualification disqualified erred fail fails forego ill illegal inability incident inconsistent ineffective invalid invalidate lapse late lie limitation limitations lose loss lost miss objecting pled poses posing postpone postponement postponements preclude question questions refusal resign resignation resigns restate restated revocation revocations stolen sue sued termination,alteration appear appears believe believed depend dependence dependent differ hidden may might nearly possible revise revised risk tending,able beneficial beneficially benefit best conclusive desired effective gain gains good satisfy success win
1,0001086222-18-000201,AKAMAI,20181029,2018-10-29,8-K,break bridge claims collapse conciliation cut defer delay deter difficult disclaim disclaims discontinue divest divestiture doubt doubtful easing erred fail failure fined force ill impair impairment inability investigation lack lapse late lie lose loss losses lying miss negative negatively plea pleas poses preclude precluded quit reassign reassigned restate restated restructuring sue sued suspend threat threats weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ differs doubt doubtful fluctuation fluctuations hidden intangible may might nearly revise revised unusual varies vary varying,able achieving advantage benefit effective enable enhance enhances excellent gain gains great greater improve improvement innovation opportunities pleased satisfy tremendous unmatched win
2,0001086222-15-000028,AKAMAI,20150210,2015-02-10,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims divest divestiture divestitures doubt doubtful easing erred fail failure force ill impair impairment inability lack lapse late lie loss losses lying miss negative negatively plea pleas pled poses quit restructuring sue sued weak weaken,anticipate anticipates approximate approximately assumption assumptions believe believes contingent differ doubt doubtful fluctuation fluctuations hidden intangible may unusual varies vary varying,able benefit better enabling enhance enhances gain gains great greater innovation leading opportunities satisfy strong unmatched win
3,0001086222-19-000126,AKAMAI,20190430,2019-04-30,8-K,break bridge claims collapse conciliation cut defer delay difficult disclaim disclaims doubt doubtful easing erred fail failure fined force ill impair impairment inability lack lapse late lie lose loss losses lying miss negative negatively plea pleas poses quit reassign reassigned restructuring sue sued threat threats weak weaken,anticipate anticipates assumption assumptions believe believes contingent differ differs doubt doubtful fluctuation fluctuations hidden intangible may revise revised unusual varies vary varying,able advantage benefit benefited efficiency efficient efficiently enable enhance enhances excellent gain gains great greater improve innovation outperform pleased satisfy strong unmatched win
4,0001086222-16-000347,AKAMAI,20160815,2016-08-15,8-K,break bridge closure collapse cut easing ill lapse lie,almost believe hidden,able benefit benefiting effective honor honored innovative opportunity revolutionizing satisfy strong success win
5,0001266432-14-000086,AKAMAI,20140516,2014-05-16,8-K,break bridge collapse cut ill lapse lie miss,depend dependent hidden,able gain gains satisfy win
6,0001193125-10-032887,AKAMAI,20100217,2010-02-17,8-K,break bridge correction corrects cut defer erred erroneous erroneously error errors ill lie miss quit,intangible preliminary revise revised,able satisfy win
7,0001086222-18-000011,AKAMAI,20180206,2018-02-06,8-K,against break bridge closing collapse cut deter fined ill lapse late lie losing lying miss poses quit sue sued,fluctuation fluctuations hidden revise revised,able achieve achievement effective gain gains satisfy win
8,0001086222-18-000158,AKAMAI,20180606,2018-06-06,8-K,absence adverse adversely against allege alleged arrearage arrears breach breaches break bridge burden cancel cancellation cancelled cease ceased closed closure collapse concern conflict contested contrary convict conviction criminal cut damage damages defend defending delay delayed denies destroy destroyed destruction deter diminish disclose disclosed disinterested dispose disqualification disqualified dissolution erred fail fails failure fined fines force forego guilty ill illegal inability incident inconsistent ineffective invalid invalidate invalidated investigation involuntary lapse late lie limitation limitations liquidation lose loss lost lying miss objecting omission omissions omit omitted oppose opposed plea pled poses posing postpone postponement preclude prejudice question questions quit refusal resign resignation resigns restate restated revocation revocations stolen sue sued terminate terminates termination threat threaten threatened unlawful unpaid,alteration appear appears assume assumption believe believed could depend dependent differ hidden may might nearly pending possible presumption revise revised risk,able advancement advances beneficial beneficially benefit best conclusive desired despite effective exclusive gain gains good great greater satisfy succeed succeeding success successful successfully superior win
9,0001266432-12-000088,AKAMAI,20121217,2012-12-17,8-K,absence break bridge cut ill lie miss resign resignation sever,assumption,able effective leadership satisfy win
