,ticker,date,neg_text,uncert_text,pos_text,date_1,date_3,date_7
0,akam,2008-07-30,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may roughly vary,able benefit better collaborate gain gained gaining gains good improve improvement leading satisfy strength succeed win,2008-07-31,2008-08-02,2008-08-06
1,akam,2008-10-23,adverse breach break bridge cancel cancelled closing closure costly critical cut defer delay deter discourage erred fines ill inability inefficiency late lie limitation limitations lose losing loss losses miss plea pleas poses quit sever,anticipate anticipated appear appears approximate approximately assume assumed believe differ intangible may predict predictive roughly,able accomplish accomplishment accomplishments achieve advancement attractive benefit better boost breakthrough collaborate confident effective efficiencies efficiency efficient enable enabled enabling enhance enhanced enjoy exciting gain gains great greater greatly improve improved improving leading opportunity pleasure positive positively revolutionize revolutionized satisfy strength strengthen strengthening succeed success successful successfully valuable win,2008-10-24,2008-10-26,2008-10-30
2,akam,2008-10-30,break bridge challenging claims closed concern conciliation cut defer delay deter deteriorating difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful easing erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may pending vary,able benefit better collaborate excited gain gaining gains good improve improvement leading satisfy strength strong succeed win,2008-10-31,2008-11-02,2008-11-06
3,akam,2008-11-19,break bridge cut disclaim force ill late lie loss miss restructuring sever taint,anticipate anticipated anticipates approximate approximately assumption assumptions differ may risk risks uncertain uncertainties,able satisfy win,2008-11-20,2008-11-22,2008-11-26
4,akam,2009-01-23,against break bridge challenging closing cut deter fail fails forego ill lack late lie losing lying miss quit sue sued,contingent may,able achieve achieved achievement effective gain gains satisfy success win,2009-01-24,2009-01-26,2009-01-30
5,akam,2009-02-04,break bridge challenging claims closed closing concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose losing loss losses miss plea pleas poses quit restructuring sue sued unauthorized unexpected,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may unexpected vary,able accomplish accomplishment accomplishments benefit better collaborate gain gaining gains good impress impressive improve improved leading pleased satisfy strength succeed win,2009-02-05,2009-02-07,2009-02-11
6,akam,2009-04-29,break bridge challenging claims closed concern conciliation cut defer delay deter disclaim disclaims disclose disclosed discontinue discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses preclude precluded quit restructuring sever sue sued suspend unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may might roughly vary,able advantage advantages attractive benefit better collaborate gain gaining gains good improve improvement leading pleased positive satisfy strength strong succeed tremendous win,2009-04-30,2009-05-02,2009-05-06
7,akam,2009-05-26,absenteeism adverse against breach break bridge cancel cancelled cease ceases claiming claims closed closing closure conflict conflicts contrary crime cut damage damages defer deter dishonest dishonesty dispose dissolution encumber encumbered erred excessive fail fails failure fined force forced forego forfeit forfeited forfeiture fraud harm ill impair inconsistency invalid invalidity lapse lapsed late lie limitation liquidation lose losing loss losses lying misconduct miss negative negligence negligent nondisclosure omission omit omitted pled poses quit refusal resign resignation restructuring serious sever sue sued suing terminate terminated termination terminations unfunded unsatisfactory violate violates violation violations,ambiguity contingent differ intangible may,able achieve achieved achievement achieves benefit conclusive confident desirable effective enable gain gains good satisfaction satisfactory satisfied satisfy succeed succeeding success valuable win,2009-05-27,2009-05-29,2009-06-02
8,akam,2009-07-29,break bridge challenging claims closed concern conciliation cut defer delay difficult disclaim disclaims disclose disclosed discourage disrupt doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able advantage advantages benefit better collaborate gain gaining gains good leading positive satisfy strength strong succeed superior win,2009-07-30,2009-08-01,2009-08-05
9,akam,2009-10-28,break bridge challenging claims closed concern conciliation cut defer delay disclaim disclaims disclose disclosed discourage disrupt divest doubt doubtful erred fail failure fines ill inability intentional lack late lie limitation limitations lose loss losses miss plea pleas poses quit restructuring sue sued unauthorized,anticipate anticipates approximate approximately believe could differ doubt doubtful intangible may vary,able benefit better collaborate gain gaining gains good improving leading pleased positive satisfy strength strong succeed superior win,2009-10-29,2009-10-31,2009-11-04
