,document_ref,company_name,filing_date,date_str,filing_type,neg_text,uncert_text,pos_text
0,0000796343-15-000215,ADOBE,20151210,2015-12-10,8-K,against break closure collapse conciliation cut decline declines defer delay delays deter doubt doubtful erred fail failure ill interrupt interruption interruptions lapse late lie limitation limitations litigation lose loss losses miss plea pleas poses quit restructuring sever sue sued taint termination unoccupied,anticipate anticipated approximate approximately assume assumed assumes believe believes contingencies contingency could differ doubt doubtful fluctuation fluctuations hidden intangible intangibles may might probable risk risks suggest uncertain uncertainties uncertainty,able achieve achieved benefit better effective encouraged gain gains great greater innovation leading profitability satisfy strong stronger success successful successfully transparency win
1,0001104659-10-020782,ADOBE,20100420,2010-04-20,8-K,absence adverse adversely against alienation bad break cancel canceled cancellation cease ceases ceasing closing collapse concern contrary cut decline defect defend defer delay delayed deter dispose dissolution divest divested divestiture easing encumbrance erred fail failure fined forego forfeit forfeited forfeiture ill inability inconsistency inconsistent intentional interfere interrupt interruption involuntary lack lapse lapsed lapsing late lie limitation limitations liquidate liquidated liquidation losing loss losses lying misconduct miss negative negligence omission penalty pled poses preclude purport purported question questions quit restate restated restructuring sever sue sued suing terminate terminated terminates termination terminations unfunded violate violation,anticipate anticipated anticipation apparent assume assumed assuming assumption contingent could depend dependent differ may might revise revised tending uncertain unusual variant vary,able achieve achieved attain attained attainment beneficial benefit conclusive desirable effective exclusive gain gains good great greater improve improvement opportunity positive profitability reward satisfaction satisfied satisfy success win
2,0000796343-17-000075,ADOBE,20170316,2017-03-16,8-K,break closure collapse conciliation critical cut decline declines defer delay delays deter doubt doubtful erred fail failure ill interrupt interruption interruptions lapse late lie limitation limitations lose loss losses miss plea pleas poses quit restructuring sever sue sued taint termination unpredictable,anticipate anticipated approximate approximately assume assumed assumes believe believes could differ doubt doubtful fluctuate fluctuation fluctuations hidden intangible intangibles may might predict risk risks suggest uncertain uncertainties uncertainty unpredictable,able achieve achieved benefit better effective encouraged gain gains great greater innovation profitability satisfy strong success successful successfully transparency win
3,0000796343-16-000409,ADOBE,20161215,2016-12-15,8-K,break closure collapse conciliation cut decline declines defer delay delays deter doubt doubtful erred fail failure ill interrupt interruption interruptions lapse late lie limitation limitations litigation lose loss losses miss plea pleas poses quit restructuring sever sue sued taint termination unoccupied unpredictable,anticipate anticipated approximate approximately assume assumed assumes believe believes contingencies contingency could differ doubt doubtful fluctuation fluctuations hidden intangible intangibles may might pending predict preliminary probable risk risks suggest uncertain uncertainties uncertainty unpredictable,able achieve achieved benefit better effective enable encouraged exceptional gain gains great greater innovation leading profitability revolutionizing satisfy strong success successful successfully transparency win
4,0000796343-16-000391,ADOBE,20160920,2016-09-20,8-K,break closure collapse conciliation critical cut decline declines defer delay delays deter doubt doubtful erred fail failure ill interrupt interruption interruptions lapse late lie limitation limitations litigation lose loss losses miss plea pleas poses quit restructuring sever sue sued taint termination,anticipate anticipated approximate approximately assume assumed assumes believe believes contingencies contingency could differ doubt doubtful fluctuation fluctuations hidden intangible intangibles may might probable risk risks suggest uncertain uncertainties uncertainty,able achieve achieved benefit better effective encouraged gain gains great greater innovation leadership profitability satisfy strong success successful successfully transparency win
5,0000796343-16-000346,ADOBE,20160621,2016-06-21,8-K,break closure collapse conciliation cut decline declines defer delay delays deter doubt doubtful erred fail failure ill interrupt interruption interruptions lapse late lie limitation limitations lose loss losses miss plea pleas poses quit restructuring sever sue sued taint termination,anticipate anticipated approximate approximately assume assumed assumes believe believes could differ doubt doubtful fluctuation fluctuations hidden intangible intangibles may might risk risks suggest uncertain uncertainties uncertainty,able achieve achieved benefit better effective encouraged gain gains great greater innovation leadership profitability satisfy strong success successful successfully transparency win
6,0001104659-12-072312,ADOBE,20121030,2012-10-30,8-K,absence against allege alleged bad break burden cease ceased claiming closed closing closure collapse concern conflict contrary criminal cut defect defective delay delayed denied destroy destroyed deter disclose disclosed disinterested disqualification disqualified disregard disregarded dissolution erred fail fails failure fined fines force forego fraud ill incident interfere invalid invalidate invalidated investigation lack lapse late lie limitation limitations lose losing loss lost miss objecting omission oppose opposed plea pleas pled poses posing postpone postponement preclude prejudice prosecuting prosecution question questions quit reparation resign resignation resignations resigned resigning restate restated restatement revocation stolen sue sued terminate termination threat threaten threatened undeliverable unlawful,anticipate anticipated appear appears assume believe believed contingencies could depend dependence dependent differ may might pending presumption risk tending,able advancement advances beneficial beneficially benefit best conducive confident desired effective empower empowered enjoy exclusive gain gains good great greater honor honored impress impressed opportunity pleasure satisfy success successful superior valuable win
7,0000796343-18-000177,ADOBE,20181105,2018-11-05,8-K,break caution cautionary cautioned closed closing closure collapse cut erred fined forego ill lapse late lie lose losing lying miss poses quit sue sued taint,anticipate anticipated approximate approximately assume assumption assumptions could differ hidden may revise revised risk risks uncertain uncertainties,able benefit empower empowers innovation leadership leading opportunities opportunity satisfy win
8,0001104659-09-005061,ADOBE,20090129,2009-01-29,8-K,absence against break closure collapse cut deter erred fail fails fined force forego forfeit ill lack lapse late lie lying miss poses purport quit sever terminate terminates termination,approximate approximately contingent may,able achieve achieved achievement achieves achieving attain attained attains benefit desirable enhance exclusive gain gains great greater satisfy success win
9,0000796343-17-000062,ADOBE,20170201,2017-02-01,8-K,break collapse cut ill lapse late lie miss sue sued,depend dependent hidden,able creative delight delighted innovation leadership profitable satisfy succeed succeeds success successful successfully win
